Hash_ID,Vector,Focus_Area,Tier,Source,Date,Title,Snippet,Link
a8b603f1ba0f36a586af2a7a6cbb118c,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,bloomberg.com,2025-12-08,European Institutional Equity Trading Study: Liquidity and ...,"Dark pool trading remained relatively stable, at approximately 5%. For market participants with a variety of execution mechanisms at their disposal ...",https://www.bloomberg.com/professional/insights/trading/european-institutional-equity-trading-study-liquidity-and-execution/
cdc19822b6052e6937495d292d6b0355,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-10,Viasat: The High-Risk Satellite Stock The Pentagon Cannot ...,"Dark pool data shows significant institutional accumulation, while options gamma is concentrated near spot, suggesting supportive flows and potential upside on ...",https://seekingalpha.com/article/4851991-viasat-the-high-risk-satellite-stock-the-pentagon-cannot-ignore
bf64402ab8c010525c3f4e209a6515da,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-22,TeraWulf: Turning Scarce Megawatts Into Contracted AI ...,"A sustained move above $14, confirmed by a rising dark pool buy ratio (EMA > 0.9), would indicate institutional sponsorship and potential for a run toward $15.",https://seekingalpha.com/article/4855062-terawulf-turning-scarce-megawatts-into-contracted-ai-cash-flows
5a81740ee5cac04a4aae18e58b83bcbb,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-21,"ASTS AST SpaceMobile, Inc. Latest Comments","Those huge blocks people see going through in dark pool are highly likely to be arb hedge funds adjusting their Delta. They aren't some mysterious ""whale ...",https://seekingalpha.com/symbol/ASTS/comments
c88c7afe0f166db5252116e384fa3535,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-10,5 Hidden Risks In The Markets,"Read about the 5 hidden risks threatening markets at all-time highs—AI bubbles, insider selling, margin debt & more.",https://seekingalpha.com/article/4852126-5-hidden-risks-in-the-markets
f01abd66c12cc26255c1c388305d1e06,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-22,'Irrational Exuberance': 5 Signs Of Market Froth,"Margin debt at records is meaningless without normalizing for market size. Insider selling is mostly personal liquidity and tax management, not market timing.",https://seekingalpha.com/article/4855129-irrational-exuberance-5-signs-of-market-froth
2601d3135d12d355de8bee4c6a214d47,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-17,"Figma, Inc. (FIG) Stock Price, Quote, News & Analysis","FIG Insider Selling & Buying. DateSort by Date in descending order, Name, Title ... Dec. 22, 2025, Praveer Melwani, CFO & Treasurer. Sell. 14,482, 39.48 ...",https://seekingalpha.com/symbol/FIG
9d8472b0e3b5053bca3412fa47cb2f7a,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-11,Dell: Undervalued So Long As The AI Push Remains In Place,"... insider selling occurred in the last quarter of 2025, suggesting insider caution despite some analyst optimism. Is there something troublesome news coming ...",https://seekingalpha.com/article/4852616-dell-undervalued-so-long-as-the-ai-push-remains-in-place
b410ba229d73e209f1aa0f72ad19fef2,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-22,SoFi: Time To Exit This Fintech Darling,"Secondly, we also saw the insider selling occurring shortly after the Q3 earnings report was released. ... InvestorMan Sr. 22 Dec. 2025. PremiumInvesting Group.",https://seekingalpha.com/article/4855002-sofi-stock-time-to-exit-this-fintech-darling
b493bf5ba4dc076e884f6683deebec69,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-11,Arbor Realty: Why Insiders Kept Buying (NYSE:ABR),"To start, they stand out on my radar as the broader equity market is dominated by insider selling currently. As an example, the chart below shows the buy ...",https://seekingalpha.com/article/4852382-arbor-realty-insiders-kept-buying-rating-upgrade
0f84bc564ca588b8c14ad7a858e27cd4,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-10,"Amphenol: Gaining Market Share, But Upside Is Capped ...",... insider selling. PMI diffusion index amphenol. MacroMicro. Regarding the ... Our Top 10 High-Growth Dividend Stocks - December 2025 · Financially Free ...,https://seekingalpha.com/article/4852337-amphenol-gaining-market-share-but-upside-is-capped-by-valuation
f704095e2ae834befb0397c26faaf7e4,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-05,SoFi: $1.5B Dilution Raises Red Flags As Insiders Keep ...,"SoFi faces $30 resistance, high valuation, falling EPS, dilution risks, ongoing insider selling, and macro headwinds. Learn why SOFI stock is a strong sell.",https://seekingalpha.com/article/4850590-sofi-stock-dilution-raises-red-flags-as-insiders-keep-selling
4a54a95a3b0ddb87614af33b70c42554,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-21,TLK Perusahaan Perseroan (Persero) PT Telekomunikasi ...,TLK Insider Selling & Buying. No insider transaction data currently available. TLK Ownership. Type. Common Stock Held. % of Shares Outstanding. Market Value.,https://seekingalpha.com/symbol/TLK
45c329532ba4efba163ff256db52eaed,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-12,MSGM Motorsport Games Inc. Stock Price & Overview,"MSGM Insider Selling & Buying. DateSort by Date in descending order, Name, Title, Transaction Type, # Shares, Share Price, Total Value. Dec. 12, 2025, John ...",https://seekingalpha.com/symbol/MSGM
ef055f0d79c96e1ef5a2f0dd6f87ae0e,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-04,Tracking Bill Ackman's Pershing Square 13F Portfolio,Their Q1 2025 investor call mentioned the following: Fannie/Freddie common shares could become an anchor for the sovereign wealth fund as they are uniquely ...,https://seekingalpha.com/article/4850529-bill-ackman-pershing-square-13f-portfolio-q3-2025-update
8accd14742b45d9da748d2c9f2213f83,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,bloomberg.com,2025-12-12,Wall Street Whiplash Hits Trend Chasers in Year of ...,"Long positions in the S&P 500 and Nasdaq barely buttressed CTA returns, despite the headline strength of the artificial-intelligence trade. That's because ...",https://www.bloomberg.com/news/articles/2025-12-12/wall-street-whiplash-hits-trend-chasers-in-year-of-endless-noise
07a775c00badc3de4fd9fe5d91e65f36,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-11,"S&P500 Sector Outlook For 2026: Sell Technology, Buy ...","Discover why a 2026 recession may trigger an AI bubble burst, impacting tech stocks, and learn why health care could outperform.",https://seekingalpha.com/article/4852526-sp500-sector-outlook-for-2026-sell-technology-buy-healthcare
dfb70864d0a49faa22ad52896b35a050,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,wsj.com,2025-12-10,U.S. Investors Are Going Big on China AI Despite ...,"Funds managed by U.S. players Vanguard Group, BlackRock and Fidelity have this year increased their stakes in Alibaba's Hong Kong-listed shares, according to ...",https://www.wsj.com/tech/ai/u-s-investors-are-going-big-on-china-ai-despite-concerns-in-congress-cb9a71c5
777e3d93d0bb407da5e6c92cba36bd8f,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,bloomberg.com,2025-12-18,Trillions Podcast,It's like fighting a multi-front war where issuers have to market existing funds; engage in fee wars with the likes of Vanguard and BlackRock ... inflows of $67 ...,https://www.bloomberg.com/podcasts/series/trillions
14a1f78eaccbf6e626452e1505c76b04,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-21,Vanguard Information Technology Index Fund ETF Shares ...,Get the latest news and real-time alerts from Vanguard Information Technology Index Fund ETF Shares (VGT) stock at Seeking Alpha ... BlackRock says AI is set to ...,https://seekingalpha.com/symbol/VGT/news
616b3ebfcf7b6c0865ab17003406d1ad,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-12,Bitcoin: Set For The 2026 Macro Reset,"As of late 2025, just MicroStrategy ($MSTR) holds over 660,000 $BTC, and a single ETF (BlackRock's $IBIT) holds a similar volume. This means millions of Bitcoin ...",https://seekingalpha.com/article/4852771-bitcoin-set-for-the-2026-macro-reset
545f8e5708611de29353aad3eecf6252,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,bloomberg.com,2025-12-18,Podcast: Take a Peek Inside Invesco's ETF Playbook,"It's like fighting a multifront war where issuers have to market existing funds, engage in fee wars with the likes of Vanguard and BlackRock and innovate in a ...",https://www.bloomberg.com/news/articles/2025-12-18/podcast-take-a-peek-inside-invesco-s-etf-playbook
3c33197fb0366c5a7207c3147b1138f7,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-05,The Bitcoin Selloff: What Liquidity & DXY Data Predict Next,"Chart of Bitcoin Spot ETF Net Inflow/Outflow shows recent volatility ... Now Blackrock, BofA, Fidelity and Vanguard are bullish. See the difference ...",https://seekingalpha.com/article/4850771-the-bitcoin-selloff-what-liquidity-and-dxy-data-predict-next
b96ae1a693408452df7cca2bfa0a6285,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-04,Bitcoin Price Alert: Bitcoin Breaks Major Resistance,"While BlackRock's Bitcoin ETF is recovering, major inflows went into funds ... A huge structural change, dubbed the ""Vanguard Effect,"" also boosted demand.",https://seekingalpha.com/article/4850125-bitcoin-price-alert-bitcoin-breaks-major-resistance-next-stop-100000
7130e4edcf88e7ce28ea31a6979d4de0,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-10,This bitcoin bull just slashed their price forecast,When pokemon Vanguard ETF?? Reply. Like. (1). R. Recent Aquisition. 10 Dec. 2025 ... It's hard to argue that BlackRock's balance sheet is powered by 'fools.,https://seekingalpha.com/news/4529976-this-bitcoin-bull-just-slashed-their-price-forecast
3bd08ac2d114e376ac184518b8fdf1a9,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-19,SPDR® S&P 500® ETF (SPY) Latest Stock News,"BlackRock says AI is set to drive markets through 2026. SA NewsTue, Dec. 093 ... Vanguard S&P 500 ETF. VTI. 0. 0.00%. Vanguard Total Stock Market Index Fund ...",https://seekingalpha.com/symbol/SPY/news
5a90194eb2c3c9600416a65c4a8160bb,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-19,Weekly Commentary: Global Monitoring Report On NBFI,A bevy of asset managers and banks - from Vanguard Group Inc. to Invesco ... BlackRock-led group. The proposed sale includes two ports at the Panama ...,https://seekingalpha.com/article/4854855-weekly-commentary-global-monitoring-report-on-nbfi
ab03c623d884cf60f6f9a01864fb56f3,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,bloomberg.com,2025-12-02,"Money-Market Assets Rise to Record $8 Trillion, Crane Says","“Money market funds continue to draw inflows as yields remain highly attractive amid gradual Fed rate cuts,” said Gennadiy Goldberg, head of US interest ...",https://www.bloomberg.com/news/articles/2025-12-02/money-market-assets-top-8-trillion-for-first-time-crane-says
c392174c258de08959e2434f8c1a305c,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-17,"The Safe Asset Squeeze Is Coming, And It Could Push ...",Maybe the turn to equities will support fund flows. Thanks for your article ... flow as it leaves the money market. High quality preferred stocks are ...,https://seekingalpha.com/article/4854096-the-safe-asset-squeeze-is-coming-and-it-could-push-money-toward-equities
dde3f2434354a9e162f5718dde0240f7,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-10,FOMC December 2025: $40B In 30 Days - The Fed Knows ...,"When this happens, it means marginal liquidity has dried up and banks are competing for reserve funding. This is the same signal the money market sent to the ...",https://seekingalpha.com/article/4852266-fomc-december-2025-40b-in-30-days-the-fed-knows-something-you-dont
fe118dc65a4c1c021aa4566f3ab5f677,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,bloomberg.com,2025-12-18,Munis Set to Reap Cash as Fed Cuts Rates ...,"... funds seeing net inflows of $50 billion this year. Rate cuts could also ... money-market funds. Norton expects that munis, and in particular higher ...",https://www.bloomberg.com/news/articles/2025-12-18/munis-set-to-reap-cash-as-fed-cuts-rates-alliancebernstein-says
67874831011424de129552ce1d38470e,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-21,2026 Market Outlook - A Soft Landing Will Bring More Bull ...,"That won't concern me unless we breach 5%, but the $8 trillion mountain of money market funds realizing gradually lower yields is likely to extend duration ...",https://seekingalpha.com/article/4854908-2026-market-outlook-soft-landing-will-bring-more-bull-market-gains
7fa5bc3b881e6530a2bb8499b46c6a87,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,markets.ft.com,2025-12-19,Half-year Financial Report – Company Announcement - FT.com,"Cash equivalents are held in a money market fund. ​ ​ ​ ​. 9. Called up share capital. ​. At the end of the period there were 301,265,952 (30 September 2024 ...",https://markets.ft.com/data/announce/detail?dockey=1323-17382959-2IL2J01NVRJBDASAAVOLLDH771
c072e8e90106b32ecb79d712cc0fd5a9,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-22,The 2026 Market Derby Is Under Starter's Orders,"Gold (GLD) is positioned to outperform in 2026 amid persistent geopolitical risk, de-dollarization, and a weak USD environment.",https://seekingalpha.com/article/4855078-2026-market-derby-under-starters-orders-where-put-your-money-market-rotates
cdcce0810c528aed99b6d3848a263d21,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,bloomberg.com,2025-12-03,FTSE 100 Live: Stocks Regain Composure After Latest AI ...,"It, however, already has huge demand for the assets because there is more than $8 trillion parked in money market funds. Gennadiy Goldberg, the head of US ...",https://www.bloomberg.com/news/live-blog/2025-12-03/ftse-100-live-pound-bitcoin-us-data-airbus-what-s-moving-uk-markets-right-now-markets-today-mipnb3fp
3b72ec1572fbdb9b1ead9331a0a8e8a6,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-19,iShares Prime Money Market ETF declares monthly ...,iShares Prime Money Market ETF (PMMF) - $0.3301. 30-Day SEC Yield of 3.90% as of Dec. 18. Payable Dec 24; for shareholders of record Dec 19; ex-div Dec 19.,https://seekingalpha.com/news/4533637-ishares-prime-money-market-etf-declares-monthly-distribution-of-03301
c2d3ce0e9ab7a9deffbf4fe452670ccc,Institutional_Positioning_Dec2025,Fund_Flows,Financial_Deep,seekingalpha.com,2025-12-08,2 REITs To Buy Before December 10th,"There is currently a record $7 trillion comfortably sitting in money-market funds, earning a 4% yield. But as that turns into just 2.75%, increasingly many ...",https://seekingalpha.com/article/4851004-2-reits-to-buy-before-december-10th
3e47ffd3cce74bf908e719b3c893fdc5,Institutional_Positioning_Dec2025,Fund_Flows,Institutional_Data,federalreserve.gov,2025-12-10,Transcript of Chair Powell's Press Conference December ...,"In light of the continued tightening in money market interest rates relative to our administered rates, and other indicators of reserve market conditions ...",https://www.federalreserve.gov/mediacenter/files/FOMCpresconf20251210.pdf
3b8f1df3dbac3034049f534d9b74bf5b,Institutional_Positioning_Dec2025,Fund_Flows,Institutional_Data,federalreserve.gov,2025-12-17,The Fed - FEDS Notes,"With fast growing combined assets exceeding $20 trillion, bank deposits and money market funds (MMFs) play increasingly important roles in monetary policy ...",https://www.federalreserve.gov/econres/notes/feds-notes/default.htm
9cff105d6e1a8abdd2c677c4f4912194,Institutional_Positioning_Dec2025,Fund_Flows,Institutional_Data,federalreserve.gov,2025-12-16,Finance and Economics Discussion Series (FEDS) - 2025,We examine whether access to the Federal Reserve's Overnight Reverse Repo Facility (ON RRP) affects money market fund flows during flight-to-safety episodes.,https://www.federalreserve.gov/econres/feds/2025.htm
2cb6e44c3b6288d9b19ae7995a2262da,Institutional_Positioning_Dec2025,Fund_Flows,Institutional_Data,federalreserve.gov,2025-12-13,The Fed - Banking and Financial Institutions,Erik Bostrom Senior Fin Inst Policy Analyst I Money Market Analysis Monetary ... Ioana Neamtu Senior Economist Flow of Funds Research and Statistics.,https://www.federalreserve.gov/econres/banking-financial-institutions-f.htm
09e6eda9f7049c30ada871473915cd6d,Institutional_Positioning_Dec2025,Fund_Flows,Institutional_Data,sec.gov,2025-12-17,Notes to Unaudited Condensed Financial Statements,"... money market funds meeting certain conditions under Rule 2a-7 under the Investment Company Act of 1940, as amended (the “Investment Company Act”), and that ...",https://www.sec.gov/Archives/edgar/data/1861063/000121390025122838/ea0269115-10q_aquaron.htm
24af8330c7b62b4319c17d6c57cc3054,Institutional_Positioning_Dec2025,Fund_Flows,Institutional_Data,sec.gov,2025-12-08,S-1/A,"Given the sustained flow of investment funds into passive strategies ... money market investments. Other (Expense) Income, net. Other (expense) income ...",https://www.sec.gov/Archives/edgar/data/2046386/000119312525311099/d55108ds1a.htm
8d9945f634b1d9532b118c719a411909,Institutional_Positioning_Dec2025,Fund_Flows,Institutional_Data,sec.gov,2025-12-03,"Rabo Securities USA, Inc. December 3 l, 2016 With Report ...","The following is a summary of the financial assets and liabilities measured at fair value on a recurring basis as of December 31, 2016. Assets. Money market ...",https://www.sec.gov/Archives/edgar/data/1182014/000118201417000003/asofc_123116_final_opinion_.pdf
1b397e40d6bff4aafd15b0b1f9d957ec,Institutional_Positioning_Dec2025,Fund_Flows,Institutional_Data,sec.gov,2025-12-17,Form N-4,"Briefly describe each Portfolio Company's type (e.g., money market fund, bond fund, balanced fund, etc.), or include a brief statement describing the Portfolio.",https://www.sec.gov/files/formn-4.pdf
ecdd3fd5b27dbcd1dfe95ae94edd22f2,Institutional_Positioning_Dec2025,Fund_Flows,Tech_Sovereign,scmp.com,2025-12-14,Hong Kong Monetary Authority (HKMA),"Franklin Templeton introduces tokenised money market fund in Hong Kong. The launch marks the first project under the HKMA's Fintech 2030 strategy, aimed at ...",https://www.scmp.com/topics/hong-kong-monetary-authority-hkma
