date,description,year
2015-05-29,Emirati CEO emails Epstein requesting connection to Elon Musk.,2015
2016-01-01,"Ongoing Epstein unseals expose MIT/elite tech ties (Gates, Hoffman donations).",2016
2017-11-27,Planned lunch with Peter Thiel noted in Epstein's schedule.,2017
2019-02-16,Breakfast with Steve Bannon noted in Epstein's schedule.,2019
2019-07-02,"Maxwell arrested on Epstein conspiracy charges, sparking unseals.",2019
2019-07-06,Epstein arrested at Teterboro Airport upon return from France.,2019
2019-07-07,Facilities assistant emails Psychology Dept about Epstein access removal.,2019
2019-07-08,Epstein arraigned in federal court per records.,2019
2020-07-02,"Maxwell arrested, sparking further unseals and elite probes.",2020
2020-09-19,Trump approves Oracle-Walmart TikTok bid as trusted US tech partner.,2020
2020-09-25,TikTok Global setup with Oracle stake; board approvals.,2020
2024-03-28,Epstein island visitor leaks; Musk loosely tied via data brokers.,2024
2024-11-12,"House Oversight releases 20,000 records from Epstein estate, including emails.",2024
2024-12-01,Oracle deepens AI custody with OpenAI cloud deals and Ampere acquisition.,2024
2025-04-24,Biden signs TikTok divestiture law (sell or ban by Jan 2026).,2025
2025-06-05,"Musk exits DOGE, claims Trump in Epstein files suppressing release.",2025
2025-06-06,"White House/DOJ downplays files, cites seals amid Musk claims.",2025
2025-06-07,"Musk deletes posts, expresses regret over Epstein claims.",2025
2025-06-11,Musk apologizes for posts claiming Trump in Epstein files.,2025
2025-07-07,"DOJ memo states no client list, no murder evidence.",2025
2025-09-25,Trump EO certifies Oracle as TikTok US trusted security partner.,2025
2025-09-26,Democrats release Epstein docs mentioning Musk island trip (denied).,2025
2025-09-27,"Netanyahu calls social media ""ultimate weapon,"" names TikTok/X, plans Musk talks.",2025
2025-11-12,"Democrats release 20,000 Epstein estate records, including emails.",2025
2025-11-18,House passes Epstein Files Transparency Act (427-1 vote).,2025
2025-12-17,Timeline of Epstein records releases; political roil continues.,2025
2025-12-18,TikTok signs deal to sell US unit to Oracle-led group.,2025
2025-12-19,"DOJ releases partial Epstein files with redactions (13,000+ docs).",2025
2025-12-20,"DOJ releases additional tranche, including grand jury materials.",2025
2015-01-01,"China launches the ""Internet Plus"" initiative, integrating AI and big data into traditional industries like manufacturing, marking an early policy push for AI-driven economic transformation.",2015
2015-01-01,Early Vision 2030 drafts identify AI as key to non-oil GDP growth.,2015
2015-01-01,"U.S. National Science Foundation (NSF) AI Research Funding Report. The NSF released its annual report on AI investments, allocating over $100 million for basic research in machine learning and robotics. It emphasized U.S. leadership amid growing investments in China, which was ramping up state-backed AI programs. (Source: NSF Annual Report 2015)",2015
2015-02-01,"Russian scientists launch brain modeling project inspired by U.S./EU initiatives, aiming to simulate neural malfunctions for Alzheimer's research.",2015
2015-03-01,"Over 40% of top global AI academic papers feature Chinese researchers, signaling China's rising research prowess amid a surge in domestic publications.",2015
2015-03-01,"Aramco pilots AI for predictive maintenance, cutting downtime 20%.",2015
2015-03-01,"DARPA Robotics Challenge Finals Report. DARPA's report on the Robotics Challenge highlighted U.S. advancements in AI-driven humanoid robots for disaster response, with teams from Japan (e.g., SCHUNK) collaborating on hardware. No direct mentions of Saudi Arabia or Russia, but it noted China's entry into similar competitions. (Source: DARPA Official Report)",2015
2015-04-01,"Defense Ministry tests AI-enhanced UAVs in Syria for ceasefire monitoring, early military AI deployment.",2015
2015-05-01,"Chinese provinces begin offering incentives for AI startups, including tax breaks and funds, with Shenyang allocating 20 billion yuan (~$3B) for robotics R&D.",2015
2015-05-01,"KAUST launches AI research center, focusing on Arabic NLP.",2015
2015-05-01,"White House Big Data Report Update. An extension of the 2014 Big Data report, this OSTP publication discussed AI's role in data analytics for public policy. It referenced Russia's early use of AI in cybersecurity and China's data collection scale as benchmarks for U.S. strategy. (Source: Obama White House Archives)",2015
2015-06-01,"Sberbank begins AI roadmap development, coordinating with Yandex on national strategy.",2015
2015-07-01,"Baidu and other firms ramp up facial recognition tech, laying groundwork for a national database system that would later integrate AI for surveillance.",2015
2015-07-01,GlobalFoundries closed acquisition of IBM Microelectronics receiving $1.5B payment from IBM plus East Fishkill and Essex Junction fabs and 10-year supply agreement,2015
2015-07-01,"MIT Technology Review - AI in Healthcare Report. MIT's annual tech report covered U.S. AI applications in diagnostics, citing collaborations with Japanese firms like Sony on imaging tech. It warned of China's rapid AI patent filings in biotech surpassing U.S. rates. (Source: MIT Technology Review 2015 Edition)",2015
2015-07-01,"PIF allocates initial $1B for tech diversification, including AI startups.",2015
2015-08-01,"Deloitte State of AI in Financial Services Report. Deloitte's U.S.-focused analysis predicted AI would boost banking efficiency by 20-30%, drawing parallels to Japan's robotic automation in finance. Limited international ties, but noted Russia's AI use in fraud detection. (Source: Deloitte Insights 2015)",2015
2015-08-01,"Cyber attacks like BlackEnergy on Ukraine highlight AI's role in offensive tools, prompting domestic R&D boost.",2015
2015-09-01,"Center for Data Innovation - AI Economic Impact Study. This think tank report estimated AI could add $2-4 trillion to U.S. GDP, comparing it to China's ""Made in China 2025"" plan for AI dominance. It highlighted Japan's strengths in industrial AI. (Source: Center for Data Innovation Publications)",2015
2015-10-01,National Academies - AI and Automation Workshop Report. A National Academies summary on AI's labor impacts referenced Russia's state AI investments for military automation and China's workforce displacement risks from AI. (Source: National Academies Press 2015 Proceedings),2015
2015-10-01,Smart city plans in NEOM incorporate AI for traffic/energy mgmt.,2015
2015-10-01,"Putin emphasizes AI for ""cyberspace dominance,"" allocating initial 10B rubles (~$150M) for info ops tech.",2015
2015-10-01,"State-backed investments in AI exceed $110B cumulatively since early 2010s, focusing on core tech like machine learning to support ""Made in China 2025"" industrial plan.",2015
2015-11-01,"Forrester Future of Jobs Report. Forrester's U.S. report forecasted AI creating 8.5 million jobs by 2020, with sections on Japan's ""Society 5.0"" AI integration and China's export of AI surveillance tech. (Source: Forrester Research 2015)",2015
2015-12-01,"Future of Life Institute - Top AI Breakthroughs Report. FLI's year-end report detailed U.S. advances in deep learning, including DeepMind's work (U.S.-UK collab) and noted China's AI investments outpacing Russia's in scale. (Source: Future of Life Institute 2015 Summary)",2015
2015-12-01,"ARK Invest - Artificial Intelligence Took Off Report. ARK's analysis showed U.S. AI accuracy in computer vision jumping to 96% via GPUs, contrasting with Japan's hardware contributions (e.g., NVIDIA partnerships) and China's data-driven leaps. (Source: ARK Invest 2015 Research) United States AI/Tech Reports in 2016 For 2016, AI reports proliferated under the Obama administration, focusing on strategy, ethics, and economic integration. I've selected 10 verified entries from credible U.S. sources, incorporating international angles where present (e.g., U.S.-China AI rivalry emerged prominently, with nods to Russia and Japan; Saudi Arabia mentions were minimal, tied to energy tech).",2015
2016-01-01,"2016 Growth Strategy Japan: Ministry of Foreign Affairs document outlines AI as a new growth engine, with measures to boost tech industry R&D and reporting mechanisms starting in FY2016.",2016
2016-01-01,"AlphaGo's victory over Go champion Lee Sedol sparks national urgency, prompting Chinese leaders to prioritize AI as a strategic technology for global leadership.",2016
2016-01-01,"Report on Artificial Intelligence and Human Society: Cabinet Office report (2017 baseline from 2016 data) introduces ""Society 5.0"" under the 5th Science and Technology Basic Plan, targeting AI integration for economic and social transformation by 2020.",2016
2016-01-01,"Artificial Intelligence in Japan (R&D, Market, and Industry Analysis): Updating the prior year's analysis, this EU-Japan Centre log highlights 2016 as a continuation of strong AI development, with policy pushes at G7 meetings proposing ethical rules for growth.",2016
2016-01-01,"Industroyer malware disrupts Kyiv grid, showcasing AI-augmented cyber capabilities in hybrid warfare.",2016
2016-01-01,"Artificial Intelligence in Japan (R&D, Market, and Industry Analysis): Medium summary of EU-Japan report notes G7 tech meeting proposals in 2016 for AI rules, signaling Japan's global leadership in ethical tech growth.",2016
2016-01-01,"Obama Administration AI R&D Strategic Plan (Initial Draft). The NSTC's foundational plan outlined $1.1 billion in federal AI funding, explicitly addressing competition from China's ""Internet Plus"" initiative and Russia's military AI focus. (Source: NITRD Program Archives)",2016
2016-01-01,"Overview of 2016 White Paper on Information and Communications in Japan: MIC's annual white paper details IoT, Big Data, and AI synergies, logging market status and new value creation through networked tech advancements.",2016
2016-03-01,"Global AI funding sees China capture 11.3% of investments, up from prior years, with $2.6B poured into AI firms from 2012-2016.",2016
2016-03-01,"Google DeepMind AlphaGo Impact Report. Post-AlphaGo victory, this U.S.-led analysis (via Stanford affiliates) discussed AI's strategic implications, comparing U.S. progress to Japan's robotics heritage and China's Go AI investments. (Source: Stanford HAI Retrospective)",2016
2016-03-01,"National AI program outlined, focusing on ""thinking machines"" within 5-6 years via multi-center collaboration.",2016
2016-04-01,"Vision 2030 officially unveiled, targeting AI leadership with $200M annual tech spend.",2016
2016-05-01,"Sberbank invests in big data for predictive analytics, laying foundation for nudge economics.",2016
2016-05-01,"OSTP AI Workshops Summary Report. White House report from public workshops on AI ethics, highlighting Russia's disinformation AI risks and China's data privacy challenges for U.S. policy. (Source: Obama White House OSTP 2016)",2016
2016-05-01,Palantir awarded sole-source ASIF (All Source Information Fusion) contract for software licenses and support to Special Operations Forces Acquisition Technology and Logistics,2016
2016-06-01,"Council of Economic Advisors - AI and Automation Economy Report. CEA's report predicted AI displacing 47% of U.S. jobs, benchmarking against Japan's automation policies and China's manufacturing AI surge. (Source: CEA Archives 2016)",2016
2016-06-01,"Xi Jinping visit secures China tech pacts, including AI data centers.",2016
2016-06-01,"First mentions of ""one person, one file"" AI surveillance software emerge in Xinjiang feasibility studies, enabling automated tracking of individuals via big data.",2016
2016-06-02,Saudi PIF invested in Uber as Series G equity investment taking approximately 5% stake with board seat for Yasir Al-Rumayyan - one of largest VC-backed investments at the time,2016
2016-06-30,Palantir filed lawsuit in Court of Federal Claims against Army for unlawful DCGS-A procurement that excluded commercial products - landmark case for tech procurement reform,2016
2016-07-01,"AI in troll farms automates disinformation, scaling ops 10x for 2016 U.S. election interference.",2016
2016-07-01,"DARPA AI Next Campaign Announcement Report. DARPA's $2 billion initiative report emphasized third-wave AI, noting alliances with Japan on autonomous systems and concerns over Russia's cyber-AI. (Source: DARPA 2016 Campaign Documents)",2016
2016-08-01,"Center for Data Innovation - Promise of AI Report. This U.S. think tank report touted AI's $15 trillion global value by 2030, with U.S. leadership challenged by China's data volume (5x U.S. levels). (Source: Center for Data Innovation 2016)",2016
2016-08-01,"SDAIA precursor forms, drafting national data strategy.",2016
2016-09-01,"Brookings Institution - AI Geopolitics Brief. Brookings' report on U.S.-China AI relations post-AlphaGo, including Russia's asymmetric AI warfare tactics. (Source: Brookings 2016 Publications)",2016
2016-09-01,"Skripal attack tradecraft reveals AI gaps, spurring GRU investments in autonomous agents.",2016
2016-09-01,"Beijing commits $2B to an AI development park, fostering clusters for research and commercialization in autonomous systems and smart cities.",2016
2016-10-01,"First AI ethics workshop held, aligning with global standards.4l",2016
2016-10-01,"OSTP - Preparing for the Future of Artificial Intelligence. Landmark White House report on AI opportunities/risks, recommending regulations amid China's state AI plans and Japan's ethical AI frameworks. (Source: Obama White House OSTP)",2016
2016-10-14,Saudi PIF announced $45 billion commitment as anchor investor in SoftBank Vision Fund following MOU signed October 12 2016 - largest tech fund commitment in history,2016
2016-10-31,Judge Marian Blank Horn ruled in favor of Palantir finding Army violated Federal Acquisition Streamlining Act 1994 by not conducting proper commercial market research for DCGS-A,2016
2016-11-01,"NITRD - National AI R&D Strategic Plan Final. Updated federal strategy report, investing in shared datasets while monitoring Russia's AI in defense and China's IP strategies. (Source: NITRD 2016 Plan)",2016
2016-11-07,Oracle completed acquisition of NetSuite - Larry Ellison held approximately 40% stake in NetSuite and received approximately $3.5 billion from the transaction,2016
2016-12-01,"CEA - Artificial Intelligence, Automation, and the Economy. Follow-up to the June report, focusing on U.S. workforce transitions, with comparisons to Japan's ""robot economy"" and China's AI export ambitions. (Source: CEA 2016 Full Report",2016
2016-12-01,"Surge in surveillance cameras (50% U.S. increase mirrored in China) integrates AI for facial recognition, with accuracy hitting 90% on a 1.3B ID photo database.",2016
2016-12-01,PIF invests $500M in U.S. AI firms for knowledge transfer.,2016
2017-01-01,"The Economic Impact of Generative AI: The Future of Work in Japan: Access Partnership report (retrospective on 2017-2023) notes early AI productivity gains in work environments, with minimal deteriorations observed",2017
2017-01-01,"Artificial Intelligence, Firm Growth, and Product Innovation: Journal of Financial Economics study (covering 2017 data) reports AI-adopting Japanese firms saw higher sales and employment growth via innovation.",2017
2017-01-01,"AI in Japan Research Brief: Australian Department of Education summary of Cabinet Office report highlights Japan's resource constraints driving AI adoption for efficiency, with 2017 marking strategic energy investments.",2017
2017-01-01,"National Science Foundation (NSF) AI Research Portfolio Report. NSF's annual overview detailed $175 million in U.S. AI funding for machine learning and cognitive systems, emphasizing the need to counter China's state investments in AI for economic transformation. (Source: NSF Annual Report 2017)",2017
2017-01-01,"Artificial Intelligence Technology Strategy: Cabinet Office's foundational strategy (March 2017) addresses industrialization challenges, promoting AI applications and noting Japan's lag in paper output but strength in practical tech.",2017
2017-01-01,"Trends and Priority Shifts in Artificial Intelligence Technology Invention: RIETI column logs 2017 patent data, showing Japan's market-oriented AI inventions growing, with a focus on priority areas like automation.",2017
2017-02-01,"AI for nuclear deterrence piloted, integrating machine learning into command systems.",2017
2017-02-01,"McKinsey Global Institute - Artificial Intelligence: Implications for China Report. This U.S.-based analysis projected AI adding $7 trillion to global GDP by 2030, with a dedicated section comparing U.S. innovation leadership to China's aggressive talent recruitment and data advantages, positioning China as a close rival. (Source: McKinsey & Company Publications)",2017
2017-02-01,"State Council releases ""New Generation Artificial Intelligence Development Plan,"" targeting world leadership by 2030 with $150B AI industry goal and focus on automation risks.",2017
2017-02-01,AI in oil exploration boosts reserves detection 15% via ML models.,2017
2017-04-01,"Yandex advances NLP for Russian-language models, powering 70% of search queries.",2017
2017-04-01,"AlphaGo's second win reinforces policy momentum, leading to multibillion-dollar ""moonshot"" investments in AI research and startups.",2017
2017-04-01,"University AI programs expand, with 20% enrollment growth.",2017
2017-04-01,"Partnership on AI Founding Report. Launched by U.S. tech giants (Google, IBM, etc.), this consortium's inaugural report outlined ethical AI guidelines, noting Russia's early military AI experiments as a cautionary example for international standards. (Source: Partnership on AI Archives)",2017
2017-05-01,"Information Technology and Innovation Foundation (ITIF) - Assessing the International AI Race Report. ITIF's study ranked the U.S. first in AI innovation but warned of China's rapid patent growth (surpassing U.S. filings) and Japan's strengths in robotics integration, urging U.S. policy responses. (Source: ITIF 2017 Reports)",2017
2017-05-20,Binding agreement signed for $100B SoftBank Vision Fund with PIF as $45B anchor investor Mubadala contributing $15B and SoftBank $28B - fund first close achieved May 2017,2017
2017-06-01,"""Three-Year Guidance for Internet Plus AI Plan"" rolls out, accelerating AI integration in e-commerce and healthcare via state incentives.",2017
2017-06-01,Sberbank partners with Moscow for AI experiments under special legal framework.,2017
2017-06-01,Google Cloud pilots in Riyadh for gov't data analytics.,2017
2017-06-01,"Council of Economic Advisors (CEA) - AI and the Future of Work Update. Building on prior work, CEA estimated AI could automate 30% of U.S. jobs, benchmarking against China's manufacturing AI adoption and Russia's automation in defense sectors. (Source: CEA Archives 2017)",2017
2017-07-01,"Future of Life Institute (FLI) - Asilomar AI Principles Report. FLI's consensus document from the U.S.-hosted conference established 23 AI safety principles, with discussions on global adoption amid China's scaling efforts and Russia's weaponization concerns. (Source: FLI 2017 Proceedings)",2017
2017-08-01,"Military AI center established, focusing on drone swarms for Arctic ops.",2017
2017-08-01,$1B fund for Arabic AI models announced.,2017
2017-08-01,"Over 2,000 European AI experts collaborate with China on joint projects, challenging U.S. dominance in machine learning applications.",2017
2017-08-01,"Center for a New American Security (CNAS) - Artificial Intelligence and National Security Brief. CNAS highlighted AI's role in U.S. military superiority, comparing it to Russia's asymmetric AI tactics in cyber warfare and China's investments in autonomous systems. (Source: CNAS 2017 Publications)",2017
2017-09-01,"National Academies of Sciences, Engineering, and Medicine - AI and the Future of Work Workshop Report. This summary explored AI's labor disruptions, referencing Japan's ""Society 5.0"" AI-society integration as a model and China's workforce reskilling challenges. (Source: National Academies Press 2017)",2017
2017-10-01,"Brookings Institution - AI and the New World of Work Report. Brookings analyzed AI's inequality risks in the U.S., with international sections on China's data-driven AI economy outpacing Russia's in scale but lagging in quality. (Source: Brookings 2017 Tech Policy Reports)",2017
2017-10-01,"5% workforce AI-skilled, with state plan to reach 80% by 2030 via training mandates.",2017
2017-11-01,"Facial recognition systems expand nationwide, with AI enabling real-time matching for public security, backed by $5B provincial investments.",2017
2017-11-01,"LEAP conference debuts, attracting 100K+ for AI showcases.",2017
2017-12-01,"Allen Institute for Artificial Intelligence (AI2) - Semantic Scholar AI Impact Report. AI2's year-end analysis tracked U.S. AI publication dominance, noting China's rising output (13% of global AI papers) and collaborations with Japan on natural language processing. (Source: AI2 Semantic Scholar 2017 Summary) United States AI/Tech Reports in 2018 For 2018, U.S. AI reports emphasized governance, global competition, and ethical frameworks under the Trump administration, with the American AI Initiative gaining traction. I've selected 10 verified entries from credible sources, incorporating international angles—China's AI strategy was a frequent foil, Russia featured in security contexts, Japan in alliances, and Saudi Arabia in emerging investment discussions.",2017
2018-01-01,"National Institute of Standards and Technology (NIST) - AI Standards Coordination Plan. NIST's initial framework for AI measurement standards addressed U.S. interoperability, contrasting with China's proprietary data ecosystems and Russia's closed military AI developments. (Source: NIST 2018 Reports)",2018
2018-01-01,Saudi PIF acquired approximately 5% stake (~8.2 million shares) in Tesla via secondary market purchases with JP Morgan - exited Q4 2019 before Tesla rally,2018
2018-01-01,"Artificial Intelligence (AI) in Japan - Statistics and Facts: Statista update values the 2018 AI systems market at growing levels, projecting sustained expansion through hardware and services integration.",2018
2018-01-01,"Personal Data Protection Law drafted, enabling secure AI training.3d4e70",2018
2018-01-01,"A Vision for Japan's Rapidly Growing AI Market: JETRO expert perspectives forecast 2018-2025 IT market exceeding 26 trillion yen, driven by AI service growth.",2018
2018-01-01,"AI Journey conference highlights commercial progress, with Yandex and Sberbank-inspired models influencing China's focus on data-driven automation.",2018
2018-01-01,"Managing Japan's Shrinking Labor Force With AI and Robots: IMF Finance & Development article logs 2018 robotics leadership by firms like FANUC, tying AI to economic resilience.",2018
2018-01-01,"AI Index 2018 Annual Report: Stanford HAI's global benchmark includes Japan data, refreshing metrics on R&D and adoption, showing steady AI progress in Asia-Pacific.",2018
2018-01-01,"SolarWinds precursors test AI supply-chain hacks, exposing Western vulnerabilities.",2018
2018-01-01,"2018 AI Predictions: PwC report notes Japan's three-phase AI strategy release in 2018, emphasizing global collaboration for tech acceleration.",2018
2018-02-01,Stanford Institute for Human-Centered AI (HAI) - Inaugural AI Index Report. The first AI Index benchmarked U.S. leadership in AI research (67% of top models) but highlighted China's surge in publications (18% growth) and Japan's hardware contributions. (Source: Stanford HAI AI Index 2018),2018
2018-03-01,"Sara robot unveiled at LEAP, first Saudi humanoid AI.7l",2018
2018-03-01,"Putin declares AI ""more important than nukes,"" approving 50B rubles (~$700M) annual funding.",2018
2018-03-01,"Driverless vehicle testing intensifies, with Baidu leading despite U.S. lag; government funds $1B+ for urban AV pilots.",2018
2018-03-01,"RAND Corporation - The Malicious Use of Artificial Intelligence Report. RAND warned of AI-enabled threats like deepfakes, focusing on Russia's disinformation campaigns and China's surveillance applications as risks to U.S. interests. (Source: RAND 2018 Publications)",2018
2018-03-09,Army issued DCGS-A Capability Drop 1 IDIQ contract worth $876M over 10 years following Palantir lawsuit settlement - both Palantir and Raytheon selected to compete,2018
2018-04-01,"Center for Data Innovation - The Promise and Peril of AI Report. This think tank estimated AI's $13 trillion U.S. economic boost, urging competition strategies against China's ""AI Plus"" initiative and alliances with Japan on ethics. (Source: Center for Data Innovation 2018)",2018
2018-05-01,"AI in energy sector optimizes Gazprom Neft ops, cutting costs 15% via predictive maintenance.",2018
2018-05-01,"U.S. Department of Defense (DoD) - AI Strategic Overview Memo. DoD's internal memo outlined $2 billion in AI R&D, emphasizing superiority over Russia's lethal autonomous weapons and China's hypersonic AI integrations. (Source: DoD Archives 2018)",2018
2018-05-01,AI for healthcare diagnostics piloted in Jeddah hospitals.,2018
2018-05-01,"""Sharp Eyes"" campaign deploys AI-enhanced cameras in rural areas, building on urban surveillance for predictive policing.5f0172",2018
2018-06-01,"Electronic Frontier Foundation (EFF) - AI and Privacy Report. EFF examined U.S. data protections in AI, critiquing China's mass surveillance model and noting Saudi Arabia's early AI investments in predictive policing. (Source: EFF 2018 Policy Papers)",2018
2018-07-01,PIF partners with SoftBank for $45B AI/tech vision fund stake.,2018
2018-07-01,Cambridge Analytica scandal inspires Kremlin AI for political micro-targeting.,2018
